makesafe,wdrinkng,wall,toilet,tenurlot,tenurhws,strrec,shareit,segregate,roof,regcode,psurec,provcode,bedroom,hhnum,fwealthq,fuelmain,floor,finalwgt,electrct,dweltype,dump,drinksafe,composting,collect,burn
9,91,1,2,3,3,3,0,1,2,1,2,28,7,161,5,2,8,341.18518066,1,1,0,9,0,1,0
9,91,1,2,1,1,3,0,1,1,1,2,28,3,162,5,2,6,341.18518066,1,1,0,9,0,0,1
2,21,1,1,3,1,5,1,1,1,1,3,28,2,163,4,2,8,351.52288818,1,1,0,1,0,1,0
4,11,5,0,3,3,1,9,1,5,1,3,28,0,164,1,5,8,375.89920044,1,1,0,1,0,1,0
9,91,1,2,3,1,1,0,1,1,1,3,28,3,165,4,2,8,375.89920044,1,1,0,9,0,1,0
1,11,3,1,3,3,1,1,1,1,1,3,28,5,166,3,2,6,375.89920044,1,1,0,1,0,1,0
1,11,2,1,3,1,1,1,0,1,1,3,28,2,167,3,2,8,375.89920044,1,1,0,1,0,1,0
9,91,3,2,1,1,1,0,0,1,1,3,28,5,168,5,6,6,375.89920044,1,1,0,9,0,1,0
9,91,1,1,3,1,1,1,0,1,1,3,28,1,169,4,2,2,375.89920044,1,1,0,9,0,1,0
0,21,5,1,3,1,4,1,0,5,1,1,28,0,17,1,6,3,228.5216217,3,1,0,0,0,0,1
4,11,4,1,4,4,1,1,1,1,1,3,28,4,170,3,5,1,375.89920044,1,1,0,1,0,1,0
9,91,3,1,2,2,1,0,1,1,1,3,28,6,171,4,2,6,375.89920044,1,1,0,9,0,1,0
9,91,1,1,4,4,1,0,1,1,1,3,28,2,172,4,2,6,375.89920044,1,1,0,9,0,1,0
0,31,1,2,1,1,1,0,1,1,1,3,28,7,173,5,2,8,375.89920044,1,1,0,0,0,1,1
9,91,1,2,3,3,1,0,1,1,1,3,28,3,174,5,2,8,375.89920044,1,1,0,9,0,1,0
9,91,1,1,1,1,1,0,0,1,1,3,28,2,176,5,6,6,375.89920044,1,1,0,9,0,1,0
9,91,5,1,1,1,1,0,1,1,1,3,28,1,177,4,2,8,375.89920044,1,1,0,9,0,1,0
9,91,3,1,3,1,1,0,1,1,1,4,28,2,178,5,2,8,375.89920044,1,1,0,9,0,1,0
9,91,1,1,2,2,1,1,0,1,1,4,28,1,179,4,1,6,375.89920044,1,2,0,9,0,1,0
0,31,1,1,3,1,4,0,1,1,1,1,28,2,18,2,6,8,228.5216217,1,1,0,0,0,0,1
9,91,1,1,1,1,1,0,1,1,1,4,28,2,180,5,1,6,375.89920044,1,1,0,9,0,1,0
9,91,3,1,3,3,1,0,1,1,1,4,28,2,181,5,2,6,375.89920044,1,1,0,9,0,1,0
9,91,1,2,1,1,1,0,1,1,1,4,28,3,182,5,2,6,375.89920044,1,1,0,9,0,1,0
9,91,1,1,3,3,1,0,1,1,1,4,28,3,183,4,5,6,375.89920044,1,1,0,9,0,1,0
9999,21,3,1,3,3,1,0,1,1,1,4,28,2,184,5,2,8,375.89920044,1,1,0,9999,0,1,0
9,91,1,2,3,3,1,0,0,1,1,4,28,3,185,5,2,6,375.89920044,1,1,0,9,0,1,0
1,11,3,1,3,3,1,0,1,1,1,4,28,0,186,3,5,8,375.89920044,1,1,0,1,0,1,0
9,91,3,1,1,1,1,0,0,1,1,4,28,3,187,4,2,6,375.89920044,1,1,0,9,0,1,0
9,91,3,1,1,1,1,0,0,1,1,4,28,8,188,5,2,8,375.89920044,1,1,0,9,0,1,0
9,91,2,1,1,1,1,0,1,1,1,4,28,2,189,4,2,3,375.89920044,1,1,0,9,0,1,0
0,21,1,1,3,1,4,0,0,1,1,1,28,0,19,1,6,8,228.5216217,0,1,0,0,0,0,1
9,91,1,2,1,1,1,0,1,1,1,4,28,3,190,5,2,6,375.89920044,1,1,0,9,0,1,0
3,11,2,2,1,1,1,0,0,1,1,4,28,4,191,5,6,8,375.89920044,1,1,0,1,0,1,0
9,91,1,1,2,2,1,0,1,1,1,4,28,1,192,5,4,8,375.89920044,1,1,0,9,0,1,0
9,91,2,1,3,2,1,1,1,1,1,4,28,0,193,2,5,2,375.89920044,1,1,0,9,0,1,0
9,91,3,2,1,1,1,0,1,1,1,4,28,3,194,5,2,8,375.89920044,1,1,0,9,0,1,0
9,91,1,2,1,1,1,0,0,1,1,4,28,2,195,5,2,6,375.89920044,1,3,0,9,0,1,0
9,91,1,1,1,1,1,0,1,1,1,4,28,1,196,5,5,8,375.89920044,1,2,0,9,0,1,0
9,91,2,1,2,2,1,0,1,1,1,4,28,2,197,3,6,2,375.89920044,1,1,0,9,0,1,0
9,91,1,2,3,3,1,0,1,1,1,4,28,2,198,5,2,6,375.89920044,1,3,0,9,0,1,0
9,91,5,1,3,2,1,1,1,1,1,4,28,0,199,2,5,1,375.89920044,1,1,0,9,0,1,0
9,91,1,2,1,1,1,0,1,1,1,1,28,3,2,5,2,6,375.89920044,1,1,0,9,0,1,0
1,41,5,3,1,1,4,0,0,5,1,1,28,1,20,1,6,3,228.5216217,0,1,0,1,0,0,1
9,91,1,2,1,1,1,0,1,1,1,4,28,3,200,5,5,6,375.89920044,1,1,0,9,0,1,0
9999,11,1,1,1,1,2,0,1,1,1,2,28,2,201,4,6,8,350.72280884,1,1,0,9999,0,0,1
9,91,1,1,1,1,2,0,0,1,1,2,28,0,202,4,6,8,350.72280884,1,1,1,9,0,0,1
9,91,1,1,2,2,2,0,1,1,1,2,28,3,203,5,2,8,350.72280884,1,1,0,9,0,1,0
1,13,2,1,3,3,2,0,1,1,1,2,28,1,204,2,6,1,350.72280884,1,1,0,1,1,0,0
1,31,2,1,3,1,2,1,0,1,1,2,28,2,205,3,6,1,350.72280884,1,1,1,1,0,0,1
9999,12,1,1,2,1,2,0,1,1,1,2,28,2,206,5,5,6,350.72280884,1,1,0,9999,0,1,0
9999,13,1,1,2,1,2,0,1,1,1,2,28,3,207,4,6,6,350.72280884,1,1,0,9999,0,1,0
9,91,1,1,2,1,2,0,0,1,1,2,28,1,208,4,6,8,350.72280884,1,1,0,9,1,0,1
0,32,2,1,2,1,2,0,0,1,1,2,28,3,209,2,6,8,350.72280884,1,1,1,0,0,0,1
9,91,1,1,3,1,4,0,1,1,1,1,28,2,21,3,6,8,228.5216217,1,1,0,9,0,0,1
2,31,1,1,4,1,2,0,0,1,1,2,28,3,210,4,6,8,350.72280884,1,1,1,1,0,1,1
9,91,1,3,3,1,2,0,0,1,1,2,28,1,211,3,6,8,350.72280884,1,1,1,9,0,0,0
2,31,1,1,1,1,2,0,0,1,1,2,28,2,212,3,5,8,350.72280884,1,1,0,1,1,0,1
0,21,1,1,1,1,2,0,1,1,1,2,28,2,213,4,5,8,350.72280884,1,1,0,0,1,0,1
1,21,1,1,2,1,2,0,1,1,1,2,28,2,214,3,6,8,350.72280884,1,1,0,1,0,1,1
9,91,1,1,1,1,2,0,1,1,1,2,28,4,215,4,5,8,350.72280884,1,1,0,9,0,1,0
2,12,1,1,1,1,2,0,1,1,1,2,28,2,216,5,2,6,350.72280884,1,1,1,1,0,0,1
0,41,1,1,1,1,5,0,1,1,1,4,28,3,217,4,2,8,351.52288818,1,1,0,0,1,0,0
2,31,1,1,4,1,5,0,1,1,1,4,28,3,218,3,6,8,351.52288818,1,1,0,1,1,0,1
0,11,1,1,1,1,5,0,1,1,1,4,28,1,219,2,6,8,351.52288818,1,1,0,0,1,0,0
0,21,1,1,1,1,4,0,0,1,1,1,28,3,22,3,6,8,228.5216217,1,1,1,0,0,0,1
2,11,1,1,1,1,5,0,1,1,1,4,28,2,220,3,6,8,351.52288818,4,2,0,1,1,0,0
0,11,1,1,2,1,5,1,0,1,1,4,28,2,221,2,6,2,351.52288818,1,1,0,0,1,0,0
0,41,3,1,3,3,5,1,1,1,1,4,28,1,222,2,5,8,351.52288818,1,1,0,0,1,0,0
9,91,1,0,3,1,5,9,1,1,1,4,28,2,223,3,5,8,351.52288818,4,1,0,9,1,0,0
0,11,1,2,1,1,5,0,1,1,1,4,28,3,224,3,2,8,351.52288818,1,1,0,0,1,0,0
2,31,1,1,1,1,5,0,1,1,1,4,28,4,225,3,6,8,351.52288818,1,1,0,1,1,0,0
0,11,1,1,3,1,5,0,0,1,1,4,28,2,226,3,6,8,351.52288818,1,1,0,0,0,0,1
4,11,3,1,3,1,5,0,1,1,1,4,28,2,227,2,6,8,351.52288818,1,1,0,1,0,1,0
0,41,2,1,3,1,5,1,1,1,1,4,28,2,228,1,6,8,351.52288818,0,1,0,0,0,0,1
0,12,1,1,3,1,5,1,1,3,1,4,28,1,229,1,6,8,351.52288818,1,1,0,0,0,0,1
0,31,1,1,1,1,4,0,0,1,1,1,28,3,23,3,6,8,228.5216217,1,1,1,0,1,0,1
3,41,1,1,3,3,5,0,1,1,1,4,28,2,230,3,2,8,351.52288818,1,2,1,1,0,0,0
2,31,3,1,1,1,5,1,1,1,1,4,28,2,231,3,6,8,351.52288818,1,1,1,1,0,0,0
9,91,1,1,1,1,5,0,1,1,1,4,28,3,232,4,2,8,351.52288818,1,1,1,9,1,0,1
0,41,1,1,3,1,5,0,1,1,1,4,28,4,233,3,6,8,351.52288818,1,1,0,0,1,0,0
1,11,3,1,1,1,5,0,1,1,1,4,28,1,234,4,2,8,351.52288818,1,1,0,1,1,0,0
1,13,1,0,1,1,4,9,0,1,1,3,28,2,235,2,6,8,341.71463013,1,1,0,1,1,0,1
1,11,1,1,1,1,4,0,1,1,1,3,28,5,236,4,2,2,341.71463013,1,1,0,1,0,0,1
0,12,1,1,3,1,4,1,1,1,1,3,28,2,237,2,5,8,341.71463013,1,1,0,0,1,0,1
9,91,1,1,1,1,4,0,1,1,1,3,28,2,238,4,6,8,341.71463013,1,1,0,9,1,0,1
0,12,1,1,1,1,4,0,0,1,1,3,28,3,239,4,2,8,341.71463013,1,1,0,0,0,0,1
9,91,1,2,1,1,4,0,1,1,1,1,28,3,24,5,2,6,228.5216217,3,1,0,9,0,0,1
1,11,5,1,3,1,4,0,1,1,1,3,28,1,240,2,6,3,341.71463013,4,1,0,1,1,0,1
1,12,1,1,1,1,4,1,1,1,1,3,28,3,241,3,6,8,341.71463013,1,1,1,1,1,0,0
1,12,1,1,1,1,4,0,1,1,1,3,28,2,242,2,6,8,341.71463013,1,1,0,1,0,1,0
9,91,1,2,1,1,4,1,1,1,1,3,28,2,243,2,6,8,341.71463013,1,1,0,9,1,0,1
1,12,5,1,1,1,4,1,1,1,1,3,28,0,244,1,6,3,341.71463013,4,1,0,1,1,0,1
0,11,1,1,1,1,4,0,0,1,1,3,28,2,245,3,6,8,341.71463013,1,1,0,0,1,0,0
1,12,1,1,1,1,4,1,1,1,1,3,28,1,246,2,6,8,341.71463013,4,1,0,1,1,0,0
9,91,1,1,1,1,4,0,0,1,1,3,28,1,247,4,6,8,341.71463013,1,1,0,9,1,0,0
9,91,1,1,1,1,4,1,0,1,1,3,28,2,248,3,6,8,341.71463013,1,1,1,9,0,0,0
9,91,1,2,1,1,4,1,1,1,1,3,28,3,249,4,2,4,341.71463013,1,1,0,9,0,0,1
0,31,5,0,3,3,4,9,1,1,1,1,28,3,25,1,6,3,228.5216217,0,1,0,0,0,0,1
9,91,1,1,1,1,4,0,1,1,1,3,28,7,250,3,6,8,341.71463013,1,1,0,9,0,1,0
9,91,1,1,1,1,2,0,1,1,1,3,28,3,251,5,2,4,350.72280884,1,1,0,9,0,1,0
9,91,1,1,1,1,2,0,1,1,1,3,28,1,252,4,2,8,350.72280884,1,1,0,9,0,1,0
3,11,1,1,1,1,2,0,0,1,1,3,28,6,253,4,5,8,350.72280884,1,1,0,1,0,1,0
9,91,1,1,1,1,2,0,1,1,1,3,28,3,254,5,5,8,350.72280884,1,1,0,9,0,1,0
0,11,1,1,1,1,2,0,1,1,1,4,28,2,255,4,2,6,350.72280884,1,1,0,0,1,1,0
0,31,1,1,1,1,2,0,1,1,1,4,28,1,256,2,6,8,350.72280884,1,1,0,0,1,1,0
0,11,1,1,1,1,2,0,1,1,1,4,28,2,257,4,2,8,350.72280884,1,1,0,0,1,0,1
0,31,1,3,1,1,2,0,1,1,1,4,28,2,258,3,6,8,350.72280884,1,1,0,0,1,0,1
9,91,1,1,1,1,2,0,1,1,1,4,28,2,259,4,2,6,350.72280884,1,1,0,9,1,0,1
0,31,5,3,1,1,4,1,1,5,1,1,28,1,26,1,6,1,228.5216217,0,1,0,0,0,0,1
0,11,1,2,1,1,2,0,1,1,1,4,28,2,260,4,2,8,350.72280884,4,1,0,0,0,0,1
0,11,1,1,3,3,2,0,1,1,1,4,28,2,261,2,6,8,350.72280884,0,1,0,0,0,0,1
9,91,2,1,1,1,2,1,1,1,1,4,28,1,262,3,6,1,350.72280884,1,1,0,9,1,0,1
9,91,1,2,1,1,2,0,1,1,1,4,28,3,263,5,2,6,350.72280884,1,1,0,9,0,0,1
4,11,1,1,3,3,2,0,1,1,1,4,28,3,264,5,2,6,350.72280884,1,1,0,1,0,0,1
9,91,1,2,1,1,2,0,0,1,1,4,28,4,265,5,2,8,350.72280884,1,1,0,9,1,0,1
9,91,3,1,1,1,2,0,1,1,1,4,28,2,266,4,2,8,350.72280884,1,1,0,9,0,0,1
9,91,2,1,3,3,3,0,1,1,1,3,28,1,267,3,2,2,341.18518066,1,1,0,9,0,1,0
0,13,1,1,3,3,3,0,0,1,1,3,28,1,268,2,6,8,341.18518066,1,1,0,0,1,0,0
0,13,1,1,1,1,3,0,1,1,1,3,28,2,269,2,6,8,341.18518066,1,1,0,0,0,0,1
0,31,5,1,1,1,4,0,1,1,1,1,28,1,27,2,6,3,228.5216217,1,1,1,0,0,0,1
9,91,1,1,1,1,3,0,1,1,1,3,28,2,270,5,2,6,341.18518066,1,1,0,9,0,1,1
0,13,1,1,1,1,3,1,1,1,1,3,28,2,271,3,2,8,341.18518066,1,1,0,0,1,0,0
9,91,1,1,1,1,3,0,1,1,1,3,28,3,272,5,2,6,341.18518066,1,1,0,9,1,0,1
1,12,5,2,1,1,3,1,1,1,1,3,28,0,273,2,6,3,341.18518066,1,1,0,1,1,0,1
9,91,1,2,1,1,3,0,1,1,1,3,28,3,274,5,2,6,341.18518066,1,1,0,9,0,1,0
9,91,1,2,1,1,3,0,1,1,1,3,28,3,275,5,6,6,341.18518066,1,1,0,9,0,1,0
2,31,1,1,1,1,3,0,1,1,1,3,28,2,276,3,6,8,341.18518066,1,1,0,1,1,1,1
9,91,1,1,1,1,3,0,1,1,1,3,28,2,277,4,6,8,341.18518066,1,1,0,9,0,1,1
2,11,1,2,3,3,3,0,1,1,1,3,28,3,278,4,5,6,341.18518066,1,1,0,1,0,1,1
2,13,3,1,1,1,3,1,0,1,1,3,28,2,279,3,6,8,341.18518066,1,1,0,1,0,1,1
9,91,3,1,3,1,4,0,0,1,1,1,28,1,28,3,6,8,228.5216217,1,1,1,9,0,0,1
9,91,1,1,1,1,3,0,0,1,1,3,28,3,280,4,2,8,341.18518066,1,2,0,9,0,1,0
9,91,1,1,1,1,3,0,1,1,1,3,28,2,281,4,2,6,341.18518066,1,1,0,9,1,1,0
9,91,1,2,1,1,3,0,0,1,1,3,28,3,282,5,2,6,341.18518066,1,1,0,9,0,0,1
2,21,3,1,1,1,3,1,1,1,1,3,28,2,283,2,6,8,341.18518066,1,1,0,1,0,1,1
9999,9999,1,9999,1,1,3,9999,0,1,1,3,28,2,284,5,2,6,341.18518066,1,2,0,9999,1,1,0
0,41,1,1,1,1,4,0,0,1,1,4,28,3,285,3,6,8,341.71463013,1,1,1,0,0,0,1
0,31,1,1,1,1,4,0,0,1,1,4,28,2,286,3,6,8,341.71463013,1,1,0,0,0,0,1
1,31,1,1,1,1,4,0,0,1,1,4,28,2,287,3,6,8,341.71463013,1,1,0,1,0,0,1
0,31,1,1,1,1,4,0,0,1,1,4,28,3,288,3,6,8,341.71463013,1,1,0,0,1,0,1
0,31,1,1,1,1,4,0,0,1,1,4,28,2,289,2,6,8,341.71463013,1,1,0,0,0,0,1
0,31,5,1,1,1,4,0,1,5,1,1,28,1,29,1,6,1,228.5216217,1,1,0,0,0,0,1
0,31,1,1,1,1,4,0,0,1,1,4,28,2,290,4,6,8,341.71463013,1,1,0,0,1,0,1
0,31,1,1,1,1,4,0,1,1,1,4,28,2,291,3,6,8,341.71463013,1,1,1,0,0,0,1
0,31,1,1,1,1,4,0,1,1,1,4,28,2,292,3,6,8,341.71463013,1,1,0,0,1,0,1
0,31,5,1,1,1,4,0,0,5,1,4,28,2,293,2,6,1,341.71463013,1,1,0,0,1,0,1
1,31,3,2,1,1,4,0,0,1,1,4,28,3,294,4,6,6,341.71463013,1,1,0,1,1,0,1
0,31,1,1,1,1,4,0,0,1,1,4,28,2,295,3,6,8,341.71463013,1,1,1,0,1,0,1
9,91,1,1,1,1,4,0,0,1,1,4,28,3,296,3,6,8,341.71463013,1,1,1,9,0,0,0
1,31,1,1,1,1,4,1,0,1,1,4,28,2,297,4,2,8,341.71463013,1,1,0,1,0,1,0
1,31,1,2,1,1,4,0,1,1,1,4,28,3,298,3,6,8,341.71463013,1,1,0,1,0,0,1
0,32,1,1,1,1,4,0,0,1,1,4,28,2,299,2,6,8,341.71463013,1,1,0,0,0,0,1
9,91,1,1,1,1,1,0,1,1,1,1,28,6,3,5,2,6,375.89920044,1,1,0,9,0,1,1
0,31,5,1,3,1,4,1,1,5,1,1,28,0,30,1,6,3,228.5216217,1,1,0,0,0,0,1
9,91,1,2,1,1,4,0,1,1,1,4,28,7,300,5,2,6,341.71463013,1,1,0,9,1,0,0
2,32,3,1,1,1,4,0,1,1,1,4,28,5,301,4,6,8,341.71463013,1,1,0,1,0,0,1
9999,9999,3,9999,1,1,4,9999,0,5,1,4,28,0,302,2,6,8,341.71463013,1,1,0,9999,0,0,1
1,41,1,1,1,1,4,0,1,4,1,4,28,4,303,5,2,8,341.71463013,1,1,0,1,1,0,1
2,41,3,1,3,1,4,0,1,1,1,4,28,2,304,1,6,8,341.71463013,1,1,0,1,1,0,0
0,13,2,0,1,1,4,9,0,5,1,4,28,0,305,1,6,2,341.71463013,1,1,0,0,0,0,1
0,31,3,0,1,1,3,9,1,1,1,4,28,0,306,1,6,8,341.18518066,1,1,0,0,0,0,1
0,13,1,1,1,1,3,0,1,1,1,4,28,1,307,5,2,8,341.18518066,1,1,0,0,0,0,1
0,31,1,1,3,3,3,0,0,1,1,4,28,3,308,3,6,8,341.18518066,1,1,1,0,0,0,0
0,21,1,1,1,1,3,0,1,2,1,4,28,2,309,5,2,6,341.18518066,1,1,0,0,0,0,1
9,91,1,2,1,1,4,0,1,1,1,1,28,4,31,5,2,6,228.5216217,1,1,1,9,0,0,0
0,12,1,1,3,3,3,0,1,1,1,4,28,2,310,3,6,8,341.18518066,1,1,0,0,1,0,1
0,41,1,1,1,1,3,0,1,1,1,4,28,1,311,4,6,6,341.18518066,1,1,1,0,0,0,0
0,11,3,1,1,1,3,0,0,1,1,4,28,1,312,5,2,6,341.18518066,1,1,1,0,0,0,1
0,41,1,1,1,1,3,0,0,1,1,4,28,1,313,2,6,8,341.18518066,1,1,1,0,0,0,0
1,41,1,1,3,3,3,0,0,1,1,4,28,3,314,4,2,8,341.18518066,1,1,0,1,0,0,1
0,41,1,1,3,3,3,0,0,1,1,4,28,3,315,4,2,6,341.18518066,1,1,1,0,0,0,0
0,41,1,1,2,2,3,0,1,1,1,4,28,1,316,2,6,8,341.18518066,1,1,0,0,0,0,1
0,41,1,1,1,1,3,0,0,1,1,4,28,1,317,3,6,8,341.18518066,1,1,0,0,1,0,1
