regcode,provcode,hhnum,fg1,fg2,fg3,fg4,fg5,fg6,fg7,fg8,fg9,fg10,fg11,fg12,fg13,fg14,fg15,fg16,fg17,fg18,fg19,fg20,fg21,fg23,fg24,fg25,fg26,fg27,Total_Food,Total_Calc,Total_CHO,Total_Ener,Total_Fat,Total_Iron,Total_Prot,Total_Nia,Total_Ribo,Total_Thia,Total_VitA,Total_VitC,cu,psurec,strrec,wgts
2,31,3235,515.1675,515.1675,0,0,0,6,0,159.5625,100.5625,59,0,0,0,475.222312,475.222312,0,0,0,0,0,0,15.5,36.5,2,34.5,0,2415.904624,1311.123779296875,880.2235107421875,4754.2701854528,64.34037017822266,20.797119140625,162.5618438720703,62.79881286621094,2.185319423675537,1.588752508163452,995.0039672851563,370.1123046875,2,0152902047000,31062,530.6380294561386
2,31,3250,336.3626,301.5676,0,34.795,0,19.8,0,87,67,20,0,0,0,61.757408,8.053408000000001,53.70399999999999,0,37.2,85.40000000000001,85.40000000000001,0,11.6,14.8,3.6,11.2,0,3269.60004,1963.821655273438,1553.640747070313,9038.7059888,229.7308654785156,49.76752471923828,215.2258605957031,87.4400634765625,4.203225135803223,5.571347236633301,1459.015380859375,193.2024993896484,5,0154504007000,31032,529.5944935083389
2,31,3251,247.797,233.8255714285714,0,13.97142857142857,0,4.714285714285714,36.73714285714286,14.14285714285714,0,14.14285714285714,0,0,0,0,0,0,0,53.57142857142857,0,0,0,10.71428571428571,7.285714285714286,.4285714285714286,6.857142857142857,0,874.913,412.7575073242188,535.2993774414063,2893.56868,47.75021362304688,15.3228702545166,79.86170959472656,31.47986602783203,.9115254878997803,1.266829967498779,330.6917419433594,1.09850001335144,2.333333333333334,0154504007000,31032,529.5944935083389
2,31,3253,311.421,295.7067142857143,0,15.71428571428571,74.57142857142857,7.571428571428571,4.285714285714286,6.857142857142858,2.714285714285714,4.142857142857142,0,0,0,61.53257142857143,22.38971428571429,39.14285714285715,0,0,0,0,0,2.571428571428572,7.857142857142857,.7142857142857143,4.857142857142858,2.285714285714286,3336.675,1130.332397460938,1935.71337890625,9853.552916799999,147.3928833007813,39.29374313354492,224.7677154541016,103.4754409790039,2.601525545120239,5.963814735412598,422.5725402832031,63.33703994750977,7,0154504007000,31032,529.5944935083389
2,31,3255,324,324,0,0,0,39.75,0,136.5,28.75,107.75,0,0,0,51.86272,51.86272,0,0,0,28.59375,28.59375,0,10.25,7,1.25,5.75,0,2391.82588,1792.820678710938,1139.895141601563,5570.2022016,54.85504531860352,32.06077194213867,127.8835067749023,48.13986587524414,1.561515092849731,1.535402894020081,632.2718505859375,165.9982604980469,4,0154504007000,31032,529.5944935083389
2,31,3257,385.4892857142857,385.4892857142857,0,0,0,9.642857142857142,76.28571428571428,71.35714285714285,51.42857142857142,19.92857142857143,170.5714285714286,170.5714285714286,0,58.65792,58.65792,0,0,0,0,0,0,0,9,1.071428571428571,7.928571428571428,0,3644.68696,2049.22265625,1733.118896484375,8135.2603056,23.25425529479981,38.16427612304688,245.6652679443359,92.80110931396484,1.972580552101135,3.05166482925415,333.2079162597656,291.2431030273438,4.666666666666667,0154504007000,31032,529.5944935083389
2,31,3259,420.5178571428572,407.7678571428572,0,12.75,0,34,37.28571428571429,158.4285714285714,20.85714285714286,137.5714285714286,0,0,0,121.2057005714286,121.2057005714286,0,0,22.28571428571429,0,0,0,2.142857142857143,2.142857142857143,.7142857142857143,1.428571428571429,0,5586.064904,3782.9365234375,2700.345947265625,13336.05676832,96.61450958251953,86.17708587646484,412.1367492675781,148.3730926513672,4.061920642852783,5.396604537963867,1221.112670898438,218.1959991455078,7,0154504007000,31032,529.5944935083389
2,31,3260,363.09,330.195,0,32.895,0,0,10.725,94.1017847855246,32.1130081300813,61.9887766554433,0,0,0,87.39960000000001,0,87.39959999999999,0,88.5,0,0,0,10.5,0,0,0,0,1308.63276957105,561.5056762695313,599.848876953125,3505.96394,77.27455902099609,18.45835113525391,102.1440734863281,33.22638702392578,1.342458844184876,1.330237746238709,803.4511108398438,52.05656051635742,2,0154504007000,31032,529.5944935083389
2,31,3261,327.27975,327.27975,0,0,0,10.5,0,199.851204819277,0,199.851204819277,0,0,0,140.8613876721313,140.8613876721312,0,0,40.5,0,0,0,32.5,6.25,.5,2.25,3.5,3030.96936996563,1295.247192382813,1143.623168945313,6744.40004768,158.1081390380859,29.57239723205566,185.9780731201172,77.14254760742188,1.816694140434265,1.960839748382568,731.90283203125,78.63671875,4,0154504007000,31032,529.5944935083389
2,31,3386,142.144,142.144,0,0,0,0,67,19,0,19,0,0,0,156.1006496,7.8337696,148.26688,0,0,0,0,0,36,39,14,25,0,459.2446496,137.9483032226563,143.9159545898438,1368.79665168,71.54299926757813,6.448635578155518,37.15102005004883,14.31064319610596,.4941578507423401,.9644196033477783,15.81832218170166,52.42610168457031,1,0157308044000,31072,530.6380294561386
2,31,3387,265.5837272727273,241.2902727272727,0,24.29345454545454,240.5454545454546,43.85454545454546,0,73.36363636363637,9.272727272727273,64.09090909090909,99.54545454545455,99.54545454545455,0,194.1244765090909,194.1244765090909,0,0,0,35.35227272727273,35.35227272727273,0,11.72727272727273,30.54545454545455,6.272727272727273,24.27272727272727,0,3647.0217472,1614.32470703125,1299.408203125,7026.2789819648,116.7559280395508,31.80934143066406,194.4987640380859,94.94123077392578,2.219784259796143,2.314313650131226,1330.239501953125,665.2955932617188,3.666666666666667,0157308044000,31072,530.6380294561386
2,31,3397,357.0043333333333,330.171,0,26.83333333333333,0,10.33333333333333,0,0,0,0,0,0,0,87.24525333333334,87.24525333333334,0,0,0,0,0,0,0,2.666666666666667,2,.6666666666666666,0,1371.74876,671.0965576171875,748.7910766601563,3634.07216,29.34402656555176,11.10352420806885,93.81017303466797,38.38116836547852,.8667865991592407,1.015397191047669,209.4452972412109,0,3,0157308044000,31072,530.6380294561386
2,31,3398,377.7272727272728,377.7272727272728,0,0,0,36.81818181818182,52.36363636363637,1.090909090909091,0,1.090909090909091,46.36363636363637,46.36363636363637,0,267.5236363636363,267.5236363636363,0,0,0,0,0,0,8.727272727272728,35.72727272727273,8.454545454545455,27.27272727272727,0,3029.92,1266.414306640625,1260.199951171875,6401.6227313984,56.16246032714844,38.88782119750977,212.2425231933594,80.37985992431641,2.455745220184326,2.771005392074585,255.7981262207031,101.1470031738281,3.666666666666667,0157308044000,31072,530.6380294561386
