Total_Ener,fg7,fg8,fg9,hhnum,provcode,psurec,regcode,strrec,Total_Calc,Total_CHO,fg6,Total_Fat,Total_Food,Total_Iron,Total_Nia,Total_Prot,Total_Ribo,Total_Thia,Total_VitA,Total_VitC,weight_fact,fg2,fg10,fg11,fg12,fg13,fg14,fg15,fg16,fg17,fg18,fg19,fg1,fg20,fg21,fg23,fg24,fg25,fg26,fg27,fg3,fg4,fg5
2795.337,0,817.6819,45.675,38241,68,3,16,828,724.6069,460.7132,0,59.3921,1795.458,13.29508,47.48035,104.0323,0.9687625,1.545143,348.0769,73.33033,193.7786,501.65,772.007,0,0,0,408.6646,408.6646,0,0,0,0,501.65,0,0,48.66201,18.8,0,18.8,0,0,0,0
2214.568,78.16875,0,0,38242,68,3,16,828,268.7115,432.7664,0,21.2958,756.3085,10.20784,20.70455,72.15656,0.565005,1.326203,11.0541,1.876695,193.7786,541.8804,0,7.425,0,7.425,126.7454,60.52258,66.22279,0,0,0,541.8804,0,0,2.089042,0,0,0,0,0,0,0
1129.13,0,82.9625,13.4,38243,68,3,16,828,219.8903,240.9559,0,6.74226,519.4518,4.655671,9.508717,26.06039,0.293875,0.339675,39.09969,17.85884,193.7786,239.0875,69.5625,0,0,0,51.68928,51.68928,0,0,0,0,246.4375,0,0,0,138.3625,127.5,10.8625,0,0,7.35,0
2174.677,0,160.7667,29.3,38245,68,3,16,828,357.4585,457.4034,0,9.743687,911.4966,9.517773,29.08363,63.92789,0.4772366,0.6748444,126.5259,24.88687,193.7786,552.8435,131.4667,0,0,0,165.4143,165.4143,0,0,0,12.19444,552.8435,12.19444,0,4.222222,16.05556,0.3222222,15.73333,0,0,0,0
1993.746,16.11428,155.4,73.71429,38246,68,3,16,828,351.2085,415.2234,0,16.12169,763.0635,11.41759,15.84058,46.50729,0.7019443,1.043751,435.7213,22.48162,193.7786,460.0286,81.68571,0,0,0,0,0,0,0,58.62069,0,460.0286,0,0,6.471429,66.42857,35.14286,31.28572,0,0,0,0
2020.959,0,13.55,0,38247,68,3,16,828,356.7723,378.2607,6.9,37.94014,791.6549,6.766852,13.95246,41.46722,0.53451,0.5623275,110.8605,6.078175,193.7786,386.675,13.55,0,0,0,60.7321,60.7321,0,0,15.225,62.90625,396.475,62.90625,0,24.6416,148.225,146,2.225,0,0,9.8,63
1375.152,14.43,0,0,38248,68,1,16,823,214.9391,259.716,1.65,19.59703,507.424,5.33486,9.61118,38.9021,0.535445,0.451075,181.2891,1.155,236,303.15,0,0,0,0,73.2128,0,73.2128,0,44.725,62.90625,303.15,62.90625,0,5.35,2,0,2,0,0,0,0
2634.976,26.0562,182.1233,52.03551,38249,68,1,16,823,370.5024,534.7991,0,28.5451,948.0866,9.944332,22.32117,59.34395,0.6468525,0.9275875,281.8538,65.75193,236,569.675,130.0878,0,0,0,71.23211,71.23211,0,0,0,0,579.475,0,0,19.7,69.5,64.25,5.25,0,0,9.8,0
2190.244,13.7,186.8625,0,38250,68,1,16,823,483.9778,453.3394,42.95,20.78036,900.8517,5.87227,18.56429,47.0888,0.61786,0.63859,53.15987,14.2101,236,463.3,186.8625,0,0,0,121.4642,121.4642,0,0,0,41.175,463.3,41.175,0,10.1,21.3,20,1.3,0,0,0,0
1329.392,2.666667,96.4,0,38251,68,1,16,823,383.9884,189.8466,20.93333,44.48784,601.7092,10.7977,14.50987,42.49478,0.6978366,1.003153,740.1996,33.31789,236,171.7,96.4,0,0,0,190.1925,190.1925,0,0,0,53.88333,171.7,53.88333,0,30.46667,35.46667,33.33333,2.133333,0,0,0,0
2683.45,2.8,184.6271,175.1072,38252,68,1,16,823,752.3066,538.9376,15.42857,28.52188,1337.155,11.65441,23.34236,67.84643,0.7912429,1.130164,369.5275,150.4841,236,508.2892,9.51993,0,0,0,267.6541,267.6541,0,0,8.428572,0,518.0892,0,0,14.85594,82.51428,73.7,8.814286,0,0,9.8,242.7572
2599.093,0,711.672,0,38253,68,1,16,823,709.0717,523.7467,0,31.40127,1571.009,9.911164,21.57484,57.4534,0.734904,1.461716,62.03247,81.231,236,502.4283,711.672,0,0,0,76.25075,76.25075,0,0,0,0,523.2283,0,0,14.83536,127.78,122,5.78,0,0,20.8,117.2423
2378.663,5.56,172.5282,168.7282,38255,68,1,16,823,738.6354,395.133,0,59.09853,1070.498,16.37743,16.10797,66.55663,1.219604,0.908712,607.0756,43.51631,236,263.62,3.8,0,0,0,54.00432,12.10903,41.89529,0,37.88,260.005,440.9805,260.005,0,3.7,95.84,89,6.84,0,0,177.3605,0
2948.601,0,101.9725,26.35857,38291,68,2,16,823,555.9613,614.1641,53.5,7.32049,1415.211,9.39249,29.13054,105.8531,0.69055,0.79246,136.8616,38.28796,193.5,473.7559,75.61389,0,0,0,496.3437,496.3437,0,0,0,0,735.7951,0,0,0,27.6,20,7.6,0,262.0392,0,0
2493.448,0,14.49829,1.741707,38292,68,2,16,823,383.3798,447.2464,0,44.79977,1265.292,12.55286,34.06099,75.36453,1.275133,1.455537,354.7758,67.75431,193.5,397.637,12.75658,322.8333,0,322.8333,225.0889,212.7297,12.35923,0,36.36666,168.4708,452.134,115.1375,53.33333,18.26667,27.63333,16.66667,10.96667,0,0,54.497,0
1641.725,0,11.55,0,38293,68,2,16,823,258.7929,356.1826,3.5,2.699015,926.248,6.355215,16.27007,47.92377,0.31382,0.51809,19.10844,104.4693,193.5,392,11.55,317.4889,157.6389,159.85,152.4592,152.4592,0,0,0,0,392,0,0,0,49.25,0,49.25,0,0,0,0
1232.122,5.44,7.08,1.3,38294,68,2,16,823,257.4555,234.3071,0,8.570227,683.002,6.031921,15.10777,54.09772,0.453535,0.487357,298.2953,4.906607,193.5,273.9913,5.78,0,0,0,351.8382,351.8382,0,0,0,25.1625,276.9413,25.1625,0,0,16.54,11.9,4.64,0,0,2.95,0
985.6473,0,0,0,38296,68,2,16,823,313.7911,165.1894,12.375,15.1806,647.8378,6.074828,12.82747,47.17551,0.5432325,0.58383,322.1508,2.035,193.5,216.4824,0,0,0,0,308.2055,285.0486,0,23.15692,0,62.90625,235.9261,62.90625,0,7.025,21.4,17.25,4.15,0,0,19.44375,0
2004.206,8.5,99.09151,56.09375,38298,68,2,16,823,405.7336,382.9316,0,21.22218,1092.975,13.43443,24.63082,69.92272,0.82675,0.668565,434.6187,59.5623,193.5,412.3101,42.99776,18.5,18.5,0,379.3186,379.3186,0,0,57.95,0,449.4645,0,0,5.7,74.45,27.5,46.95,0,0,37.1544,0
1593.691,7.25,199.7397,5.37875,38299,68,2,16,823,246.8966,326.3859,25.76667,15.67419,680.0378,6.268595,13.06158,36.42422,0.416965,0.4972117,128.3299,29.41282,193.5,360.6,194.3609,0,0,0,20.16081,20.16081,0,0,38.86666,0,360.6,0,0,8.737309,18.91667,1.9,17.01667,0,0,0,0
1592.954,0,56.33855,0,38300,68,2,16,823,666.5015,225.4855,0,47.60231,908.8857,6.03847,20.14498,65.27046,0.9109766,0.5608134,452.8004,35.10132,193.5,167.6618,56.33855,0,0,0,370.553,264.3554,106.1976,0,0,220,220.4941,220,0,9.5,32,3,29,0,0,52.83226,0
1831.318,14.95,175.7558,58.7697,38301,68,2,16,823,323.2114,332.6133,4.55,30.31767,849.6861,9.282147,20.43596,57.40916,0.695015,1.017405,450.0484,24.08918,193.5,370.4332,116.9861,0,0,0,236.017,110.8678,125.1492,0,0,0,376.6632,0,0,0,41.75,16.75,25,0,0,6.23,0
2081.492,0,22.13333,0,38302,68,2,16,823,451.3259,283.346,13.73333,67.67307,890.0554,10.61566,36.71865,86.0546,0.95081,0.7014,392.3262,27.90999,211.90909,261.8333,22.13333,0,0,0,306.1929,136.0772,47.14444,122.9712,34.6,181.7292,282.7333,181.7292,0,29.6,19.33333,8.766666,10.56667,0,0,20.9,0
2106.659,3,109.4202,11.9139,38303,68,2,16,823,659.4922,426.4984,1.063636,16.23098,821.3761,9.583137,18.9115,63.14798,0.70197,0.6919773,169.5784,22.77394,211.90909,489.0874,97.50626,0,0,0,125.6204,57.74272,67.87772,0,19.77273,32.23296,503.6207,32.23296,0,7.118182,19.52727,6.818182,12.70909,0,0,14.53331,0
1819.502,5.1,238.6194,51.82859,38304,68,2,16,823,381.4167,332.0009,3.35,28.3847,1267.975,8.66105,18.34135,55.99493,0.54515,0.799585,158.1415,163.2455,211.90909,328.9607,186.7909,261.95,261.95,0,232.5498,41.88912,39.29599,151.3647,0,0,334.1057,0,0,0,192.3,189.2,0,3.1,0,5.145,0
1397.108,0,74.37857,0,38305,68,2,16,823,192.0231,225.6768,17.42143,35.99066,845.6187,7.868541,13.26202,42.55901,0.5597293,0.5412428,318.1217,42.25346,211.90909,131.9989,74.37857,130.2214,130.2214,0,114.4416,114.4416,0,0,37.75714,242.9652,175.9334,242.9652,0,14.16429,38.33571,0.5785714,34.13572,3.621428,0,43.9344,0
