regcode,provcode,hhnum,member_code,age,sex,psc,fg1,fg2,fg3,fg4,fg5,fg6,fg7,fg8,fg9,fg10,fg11,fg12,fg13,fg14,fg15,fg16,fg17,fg18,fg19,fg20,fg21,fg23,fg24,fg25,fg26,fg27,Total_Food,Total_Ener,Total_Prot,Total_Calc,Total_Iron,Total_VitA,Total_VitC,Total_Thia,Total_Ribo,Total_Nia,Total_CHO,Total_Fat,psurec,strrec,wgts
1,28,11,1,26.047913,2,12,171.4285,159.916,0,11.5125,25.34156,18.780001,0,377.29825,65.148117,312.15015,0,0,0,228.07367,132.13657,47.549999,48.3871,0,0,0,0,25.834999,0,0,0,0,846.75702,1154.024414,47.84915924,353.3478699,6.71296978,476.4562683,81.77301788,0.710810006,0.60364002,21.08404922,191.0220642,21.91311073,2104006000,28012,5251.959961
1,28,12,3,2.1984942,1,99,41.071999,18.973499,0,22.098499,0,0,0,0,0,0,0,0,0,4.2666702,4.2666702,0,0,0,1349.5625,1269.5625,80,0,200,200,0,0,3189.8022,1154.100708,27.41955948,915.9643555,0.828530014,1.409240007,10.22463036,209.8000031,181.9347382,35.79264832,53.99333954,10.97107029,2104006000,28012,5251.959961
1,28,18,4,3.5838466,2,0,66.603996,47.929001,5,13.675,10,15,0,33.03125,0,33.03125,20.547951,20.547951,0,1283.7755,1283.7755,0,0,28,0,0,0,0,215,215,0,0,3290.9175,766.2913208,28.35273933,349.5074158,0.497779995,0.425740004,5.993040085,33.9280014,126.1544189,16.7191391,460.2704468,12.51109028,2104006000,28012,5251.959961
1,28,19,2,28.651609,2,6,137.681,81.315002,0,56.366001,0,38.849998,0,37.898529,3.5464301,34.3521,442.93054,0,442.93054,160.33894,119.75644,40.5825,0,30,240.1875,240.1875,0,19.889999,25,25,0,0,1132.7765,1619.759888,57.2182312,1928.313354,21.74834061,299.5979004,154.4920349,0.680869997,1.160809994,18.65992928,245.5676727,45.09429169,2104006000,28012,5251.959961
1,28,21,3,35.214237,2,10,268.724,218.508,0,50.216,0,11.58,0,69.631989,28.371429,41.260559,0,0,0,312.46188,95.616669,216.84521,0,0,0,0,0,0,110,110,0,0,772.39789,1840.193115,77.55708313,509.5697327,12.76325989,347.0869141,81.24752808,1.834190011,1.441799998,29.65382004,257.6158142,56.5424614,2104006000,28012,5251.959961
1,28,22,7,4.3093772,1,99,191.403,191.403,0,0,0,3,0,105.2554,0,105.2554,0,0,0,73.919998,73.919998,0,0,0,0,0,0,0,0.13,0.13,0,0,744.41675,760.7418823,20.26096916,801.0319214,0.261390001,0.404509991,7.577620029,16.22184944,164.5026245,2.332309961,120.6292877,2.682709932,2104006000,28012,5251.959961
1,28,22,6,5.8343601,1,99,212.67,212.67,0,0,0,3.5,0,102.49465,0,102.49465,0,0,0,84.480003,84.480003,0,0,0,0,0,0,0,0.13,0.13,0,0,803.04926,843.145813,22.41091919,905.522583,0.281949997,0.449910015,8.370300293,15.65699959,182.3008575,2.614099979,134.8054962,2.919800043,2104006000,28012,5251.959961
1,28,23,1,26.781656,2,5,224.763,224.763,0,0,0,9.5,0,229.48479,73.523773,155.96101,271.92981,0,271.92981,346.15457,3.575,342.57956,0,0,0,0,0,0,0.5,0.5,0,0,1082.3322,1539.605835,45.61516953,332.3787537,7.4489398,334.2852478,108.0258026,1.074470043,0.634809971,16.69804001,241.9287567,43.24897003,5209025000,28022,5283.959961
1,28,24,5,1.1882273,2,0,32.048,28.0585,1.5,2.4895,0,8,0,1.82143,0,1.82143,0,0,0,7.3579402,3.5852101,0,3.7727301,0,888.3125,888.3125,0,0.22499999,26.25,26.25,0,0,1919.8047,657.359375,20.68787956,1105.83728,0.598739982,0.667089999,8.977510452,52.43529892,103.7835007,18.0093708,16.20833015,11.21113968,5209025000,28022,5283.959961
1,28,26,4,4.5913758,1,99,144.3855,108.2115,9,27.174,0,37,0,21.5,0,21.5,0,0,0,290.76205,31.455219,146.125,113.18182,16.245399,0,0,0,13,100,100,0,0,1179.5405,1127.356689,44.01327896,219.8663177,0.436679989,0.595879972,14.0297699,8.96625042,148.7310028,39.7591095,145.8106384,5.124259949,5209025000,28022,5283.959961
