regcode,provcode,hhnum,FDSEC01_RC,FDSEC02_RC,FDSEC03_RC,FDSEC04_RC,FDSEC05_RC,FDSEC06_RC,FDSEC07_RC,FDSEC08_RC,FDSEC09_RC,FDSEC10_RC,FDSEC11_RC,ST1MAIS_RC,ST1ROOTS_RC,ST1OTHER_RC,STRATG02_RC,STRATG03_RC,STRATG04_RC,STRATG05_RC,STRATG06_RC,STRATG07_RC,STRATG08_RC,STRATG09_RC,STRATG10_RC,STRATG11_RC,STRATG12_RC,STRATG13_RC,STRATG14_RC,STRATG15_RC,STRATG16_RC,psurec,strrec,wgts
0,3,30643,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,4,3,3,3,0,0,0,0,0,0,0,0,0,1640012002000,03022,387.56
0,3,30644,0,0,0,0,0,0,2,2,2,2,2,2,2,0,3,3,0,0,0,0,0,0,1,2,0,0,0,0,0,1640012002000,03022,387.56
0,4,9629,2,0,0,0,0,0,1,0,0,0,0,0,0,3,3,3,0,3,3,2,0,0,0,2,0,0,0,0,0,0757004011000,04012,740.5
0,4,9631,0,0,0,9,9,9,2,2,9,9,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,9,0,0757004011000,04012,740.5
0,4,9634,0,0,0,0,0,0,1,2,0,2,0,0,0,3,3,3,0,3,3,3,0,0,3,1,0,0,0,0,0,0757004011000,04012,740.5
0,4,9635,0,0,0,0,0,0,1,1,2,1,0,0,0,0,4,3,0,2,0,3,0,0,0,2,2,0,0,0,0,0757004011000,04012,740.5
0,4,9636,0,0,0,0,0,0,2,2,0,2,0,0,0,0,4,4,0,0,0,0,0,0,0,2,2,0,1,0,0,0757004011000,04012,740.5
0,4,9637,0,0,0,0,0,0,2,2,2,0,0,0,0,3,2,2,0,3,3,2,0,0,0,2,2,0,0,0,0,0757004011000,04012,740.5
0,4,9638,2,0,0,0,0,0,1,2,2,2,0,0,3,1,0,2,0,1,1,3,0,0,2,2,2,2,0,0,0,0757004011000,04012,740.5
0,4,9641,2,0,2,0,0,0,1,1,1,1,2,0,3,3,3,2,0,1,3,3,0,0,3,1,0,0,0,0,0,0757004011000,04012,740.5
0,4,9644,0,0,0,9,9,9,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0757004011000,04012,740.5
0,4,9645,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0757004011000,04012,740.5
0,4,9662,2,0,2,0,0,0,1,1,1,1,2,0,0,0,3,3,0,2,3,3,0,0,2,2,0,0,0,2,0,0760007015001,04012,746.5
0,4,9663,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0760007015001,04012,746.5
0,4,9666,2,0,0,0,0,0,1,2,2,2,0,0,0,2,2,2,0,3,3,2,0,0,3,1,2,0,0,0,0,0760007015001,04012,746.5
0,4,9668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0760007015001,04012,746.5
0,4,9670,2,0,1,0,0,0,1,2,2,2,0,0,0,0,1,1,0,2,2,3,3,0,2,1,2,2,1,0,0,0760007015001,04012,746.5
0,4,9673,2,0,2,0,0,0,2,2,2,2,2,0,3,3,4,4,0,3,3,2,0,0,4,2,2,0,0,0,0,0760007015001,04012,746.5
0,4,9679,0,0,0,0,0,0,2,0,0,2,0,0,0,0,4,4,0,0,0,3,0,0,0,2,2,0,0,0,0,0760007015001,04012,746.5
0,4,9731,2,0,2,2,0,2,1,2,2,1,3,0,0,0,3,0,0,2,3,2,0,0,3,2,1,0,0,1,0,0762615003000,04012,743
0,4,9732,0,0,0,9,9,9,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0762615003000,04012,743
0,4,9733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0762615003000,04012,743
0,4,9737,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0762615003000,04012,743
0,4,9738,0,0,0,0,0,0,2,2,0,0,0,0,0,0,4,4,0,3,0,4,0,0,0,2,2,0,0,0,0,0762615003000,04012,743
