regcode,provcode,hhnum,FDSEC01_RC,FDSEC02_RC,FDSEC03_RC,FDSEC04_RC,FDSEC05_RC,FDSEC06_RC,FDSEC07_RC,FDSEC08_RC,FDSEC09_RC,FDSEC10_RC,FDSEC11_RC,ST1MAIS_RC,ST1ROOTS_RC,ST1OTHER_RC,STRATG02_RC,STRATG03_RC,STRATG04_RC,STRATG05_RC,STRATG06_RC,STRATG07_RC,STRATG08_RC,STRATG09_RC,STRATG10_RC,STRATG11_RC,STRATG12_RC,STRATG13_RC,STRATG14_RC,STRATG15_RC,STRATG16_RC,psurec,strrec,wgts
0,2,29922,2,2,2,2,2,2,1,1,1,1,3,0,3,0,4,2,0,3,1,1,0,0,0,0,0,1,0,0,0,1615202003001,02012,387.5
0,2,29925,0,0,0,9,9,9,1,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1615202003001,02012,387.5
0,2,29926,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,2,2,0,0,0,0,1615202003001,02012,387.5
0,2,29928,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1615202003001,02012,387.5
0,2,29930,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1615202003001,02012,387.5
0,2,29932,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1615202003001,02012,387.5
0,2,30035,0,0,2,0,0,0,1,1,1,1,2,0,4,4,3,3,3,4,0,4,0,0,0,1,0,0,1,0,0,1617202039001,02012,388
0,2,30036,1,0,0,0,0,0,2,1,2,2,0,4,4,4,0,4,3,4,4,2,0,0,0,2,0,0,0,0,1,1617202039001,02012,388
0,2,30038,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1617202039001,02012,388
0,2,30039,2,0,0,0,0,0,2,2,2,2,1,4,0,0,4,4,0,4,0,4,0,0,0,0,1,0,0,2,2,1617202039001,02012,388
0,2,30041,0,0,0,0,0,0,0,2,2,2,0,1,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,1617202039001,02012,388
0,2,30059,2,0,2,9,9,9,1,2,9,9,2,4,0,0,0,3,3,3,0,9,0,0,0,2,0,0,0,9,0,1619302054004,16011,412
0,2,30060,0,0,0,9,9,9,0,0,9,9,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1619302054004,16011,412
0,2,30061,0,0,0,9,9,9,0,0,9,9,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1619302054004,16011,412
0,2,30063,0,0,2,0,0,0,1,1,1,1,2,0,3,0,4,4,0,1,0,2,0,0,0,2,0,0,0,0,0,1619302054004,16011,412
0,2,30065,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1619302054004,16011,412
0,2,30090,0,0,0,0,0,0,2,2,2,2,0,0,0,4,4,4,0,0,0,0,0,0,0,2,0,0,0,0,0,1619702056001,02032,389.5
0,2,30092,0,0,0,1,0,0,2,2,2,2,0,3,0,0,3,3,0,0,0,0,0,0,0,2,0,0,0,0,0,1619702056001,02032,389.5
0,2,30093,0,0,1,0,0,1,1,2,0,0,0,4,4,0,4,3,0,3,4,4,0,0,0,2,0,0,0,0,2,1619702056001,02032,389.5
0,2,30094,0,0,0,0,0,0,1,1,2,0,1,3,3,0,4,3,3,3,3,3,3,0,0,2,2,0,0,2,0,1619702056001,02032,389.5
0,2,30095,1,0,0,1,0,0,2,2,2,2,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,1,1619702056001,02032,389.5
0,2,30096,0,0,0,0,0,0,2,2,2,2,0,0,0,0,4,4,0,0,0,0,0,0,3,2,0,0,0,0,2,1619702056001,02032,389.5
0,2,30098,0,0,2,0,0,0,1,1,1,1,2,0,0,0,4,0,0,1,0,1,0,0,0,2,0,0,0,0,0,1619702056001,02032,389.5
0,2,30102,0,0,0,0,0,0,2,2,2,2,0,3,3,0,0,0,0,3,0,0,0,0,0,2,2,0,0,0,0,1619702056001,02032,389.5
0,2,30141,1,0,0,0,0,0,2,2,2,2,0,0,0,4,3,3,3,3,0,2,0,0,0,0,0,0,0,0,0,1621402100000,02042,387.5
0,2,30143,2,1,2,2,0,2,2,2,2,2,2,3,2,2,3,3,3,2,3,2,3,0,0,2,2,0,0,2,0,1621402100000,02042,387.5
0,2,30145,0,0,0,9,9,9,2,2,9,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,9,0,1621402100000,02042,387.5
0,2,30147,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1621402100000,02042,387.5
0,2,30148,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1621402100000,02042,387.5
0,2,30150,0,0,0,9,9,9,2,0,9,9,0,4,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,9,0,1621402100000,02042,387.5
0,2,30152,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1621402100000,02042,387.5
0,2,30154,0,0,1,9,9,9,2,2,9,9,1,0,0,0,4,4,0,3,0,0,0,0,0,2,2,0,0,9,0,1621402100000,02042,387.5
0,2,30155,2,2,2,0,0,0,2,2,0,0,2,3,3,3,4,4,0,3,4,9,4,4,0,0,0,0,0,9,0,1623003006000,02032,388
0,2,30173,2,2,2,2,2,2,1,1,1,1,2,0,3,3,2,3,3,1,1,1,3,4,0,1,1,0,0,0,2,1623103032000,02012,387.5
0,2,30174,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1623103032000,02012,387.5
0,2,30175,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1623103032000,02012,387.5
0,2,30176,1,0,0,0,0,0,2,0,0,0,0,0,4,4,3,3,0,0,2,4,0,0,0,2,0,0,0,0,2,1623103032000,02012,387.5
0,2,30178,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1623103032000,02012,387.5
0,2,30181,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,3,0,4,0,3,0,0,0,2,2,0,0,0,2,1623103032000,02012,387.5
0,2,30182,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,3,0,0,0,0,0,0,3,2,0,0,0,2,1,1623103033000,02042,388
0,2,30184,0,0,0,0,0,0,2,0,0,2,0,3,3,3,0,3,0,3,0,0,0,0,2,2,1,0,0,0,2,1623103033000,02042,388
0,2,30185,0,0,0,0,0,0,2,2,2,2,0,3,3,3,0,2,3,2,3,2,0,0,0,2,0,0,0,0,0,1623103033000,02042,388
0,2,30187,0,0,0,0,0,0,2,1,2,2,0,0,4,4,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1623103033000,02042,388
0,2,30189,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,1623103033000,02042,388
0,2,30191,0,0,0,0,0,0,2,2,2,2,0,0,3,3,0,3,0,0,0,0,0,0,0,2,2,0,0,0,0,1623103033000,02042,388
0,2,30195,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1623103033000,02042,388
0,2,30196,0,0,0,0,0,0,1,1,2,2,0,4,4,4,4,0,0,4,0,3,0,0,4,2,0,0,0,0,0,1622505002001,02042,387
0,2,30198,0,0,0,0,0,0,2,1,2,2,0,0,0,4,0,0,0,0,0,0,0,0,3,2,1,0,0,2,2,1622505002001,02042,387
0,2,30200,0,0,0,0,0,0,1,1,2,0,1,3,3,0,0,2,0,3,0,3,0,0,0,2,0,0,0,0,2,1622505002001,02042,387
0,2,30202,0,0,0,0,0,0,2,1,2,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1622505002001,02042,387
0,2,30204,1,1,1,1,1,1,2,1,2,2,1,0,3,0,3,3,3,3,3,3,0,0,0,1,2,0,0,0,0,1622505002001,02042,387
0,2,30206,0,0,0,0,0,0,2,2,0,1,0,2,2,2,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,1622505002001,02042,387
0,2,30208,0,0,1,9,9,9,1,2,9,9,1,0,0,1,0,0,0,0,0,9,0,0,1,0,0,0,0,9,0,1622505002001,02042,387
0,3,30331,0,0,2,0,0,2,1,1,2,2,3,0,2,0,3,3,0,2,0,3,0,0,0,1,0,0,0,0,0,1628601024001,16011,411
0,3,30333,0,0,0,9,9,9,2,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1628601024001,16011,411
0,3,30334,0,0,0,9,9,9,1,2,9,9,0,4,0,0,4,4,0,0,0,0,0,0,0,2,2,0,0,9,0,1628601024001,16011,411
0,3,30335,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1628601024001,16011,411
0,3,30354,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,1628801030000,03012,388
0,3,30356,0,0,0,9,9,9,1,1,9,9,2,0,0,0,0,0,3,3,3,0,0,0,0,2,2,0,0,9,0,1628801030000,03012,388
0,3,30358,0,0,0,9,9,9,2,2,9,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,9,0,1628801030000,03012,388
0,3,30361,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1628801030000,03012,388
0,3,30362,0,0,0,9,9,9,0,0,9,9,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1628801030000,03012,388
0,3,30364,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1628801030000,03012,388
0,3,30366,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1628801030000,03012,388
0,3,30391,1,1,0,0,0,0,1,0,0,0,2,3,3,0,3,3,3,3,0,0,0,0,0,2,1,0,1,0,0,1629603003000,03022,387
0,3,30394,2,0,1,0,0,0,2,2,2,1,0,3,3,0,3,3,2,2,2,2,0,0,0,1,2,0,1,1,0,1629603003000,03022,387
0,3,30397,0,0,0,9,9,9,0,0,9,9,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1629603003000,03022,387
0,3,30482,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1632906031001,03012,389
0,3,30484,0,0,0,0,0,0,2,2,2,2,0,0,0,0,3,3,0,3,0,0,0,0,0,2,2,0,0,0,0,1632906031001,03012,389
0,3,30486,0,0,0,0,0,0,2,1,2,1,0,0,0,0,3,4,0,0,0,0,0,0,0,2,0,0,0,0,0,1632906031001,03012,389
0,3,30488,0,0,0,0,0,0,2,2,2,2,2,3,3,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1632906031001,03012,389
0,3,30490,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1632906031001,03012,389
