makesafe,wdrinkng,wall,toilet,tenurlot,tenurhws,strrec,shareit,segregate,roof,regcode,psurec,provcode,bedroom,hhnum,fwealthq,fuelused,floor,finalwgt,electrct,dweltype,dump,drinksafe,composting,collect,burn
1,8,3,1,3,1,5,0,0,2,1,3,28,1,224,2,6,8,335.84747314453,1,1,0,1,1,0,1
4,8,3,1,3,1,5,0,1,2,1,3,28,2,225,2,6,8,335.84747314453,1,1,0,1,0,1,0
4,8,1,1,1,1,5,0,1,1,1,3,28,2,226,3,6,6,335.84747314453,1,1,1,1,1,0,1
99,8,3,1,3,1,5,0,1,2,1,3,28,1,227,3,5,8,335.84747314453,1,1,0,0,0,0,1
99,8,3,1,1,1,5,0,1,1,1,3,28,2,228,1,6,8,335.84747314453,1,1,0,0,1,0,0
99,8,1,1,3,1,5,0,0,2,1,3,28,1,229,3,6,8,335.84747314453,1,1,0,0,1,0,0
99,4,2,1,1,1,3,0,1,2,1,4,28,1,23,2,6,3,329,1,1,0,0,1,0,0
9,14,1,1,1,1,5,0,0,2,1,3,28,3,230,5,2,6,335.84747314453,1,1,1,9,0,0,0
2,5,1,1,1,1,5,0,1,4,1,3,28,7,231,3,6,6,335.84747314453,1,1,1,1,1,0,0
99,4,1,1,1,1,5,0,0,2,1,3,28,2,232,3,5,8,335.84747314453,1,1,1,0,0,0,1
9,14,1,1,1,1,4,0,1,2,1,2,28,2,233,5,6,6,329.5,1,1,0,9,0,0,1
2,4,1,1,1,1,4,0,0,2,1,2,28,2,234,5,2,8,329.5,1,1,0,1,0,0,1
1,5,1,1,1,1,4,1,0,2,1,2,28,2,235,3,6,8,329.5,1,1,0,1,0,0,1
99,1,2,1,3,3,4,0,1,1,1,2,28,1,236,1,6,3,329.5,1,1,1,0,0,0,0
1,1,1,1,1,1,4,0,0,2,1,2,28,2,237,5,5,6,329.5,1,1,1,1,0,0,0
99,1,1,1,1,1,4,1,1,2,1,2,28,2,238,3,6,8,329.5,1,1,0,0,1,0,1
9,14,1,1,1,1,4,0,1,2,1,2,28,3,239,5,2,6,329.5,1,1,0,9,1,0,0
99,4,2,1,1,1,3,0,0,2,1,4,28,2,24,2,6,8,329,1,1,0,0,1,0,1
1,1,1,1,1,1,4,0,1,2,1,2,28,3,240,5,2,4,329.5,1,1,1,1,1,0,1
99,4,1,1,1,1,4,1,1,2,1,2,28,2,242,3,6,8,329.5,4,1,1,0,0,0,0
1,4,3,1,1,1,4,1,1,2,1,2,28,1,243,2,6,8,329.5,1,1,1,1,1,0,1
99,4,1,1,1,1,4,0,0,2,1,2,28,2,244,3,6,8,329.5,1,1,1,0,1,0,1
99,4,1,0,1,1,4,9,1,2,1,2,28,0,245,1,6,8,329.5,1,1,0,0,1,0,0
9,14,2,1,1,1,4,0,0,2,1,2,28,5,246,4,2,6,329.5,1,1,1,9,0,0,0
99,4,1,1,4,1,4,1,1,2,1,2,28,1,247,3,6,8,329.5,1,1,0,0,0,0,1
9,14,1,1,3,3,4,0,0,2,1,2,28,3,248,5,2,8,329.5,1,1,0,9,1,0,0
1,4,2,1,3,1,2,0,1,1,1,2,28,2,249,1,6,3,350.84017944336,0,1,0,1,1,0,1
99,5,2,1,3,3,3,0,1,2,1,4,28,2,25,2,6,8,329,1,1,0,0,1,0,0
9,14,1,1,1,1,2,0,1,2,1,2,28,3,250,5,2,6,350.84017944336,1,1,0,9,0,1,0
9,14,1,1,1,1,2,0,1,2,1,2,28,1,251,5,2,8,350.84017944336,1,1,0,9,0,1,1
9,14,1,1,1,1,2,0,1,2,1,2,28,3,252,5,2,4,350.84017944336,1,1,0,9,1,1,0
9,14,1,1,1,1,2,0,1,2,1,2,28,7,253,5,2,4,350.84017944336,1,2,0,9,1,0,1
9,14,1,1,1,1,2,0,0,2,1,2,28,4,254,5,6,8,350.84017944336,1,1,1,9,0,0,1
99,4,1,1,1,1,2,0,1,2,1,2,28,3,255,5,2,6,350.84017944336,1,1,0,0,0,0,1
9,14,1,1,1,1,2,0,1,2,1,2,28,3,257,4,6,8,350.84017944336,1,1,0,9,1,0,1
1,4,1,1,2,1,2,1,0,2,1,2,28,2,258,3,6,8,350.84017944336,1,1,0,1,1,0,1
9,14,1,1,1,1,2,0,1,2,1,2,28,2,259,3,6,8,350.84017944336,1,1,0,9,1,0,1
9,14,1,1,3,3,3,0,0,2,1,4,28,5,26,5,2,6,329,1,1,0,9,1,0,0
4,4,1,1,3,1,2,0,1,2,1,2,28,2,260,5,2,8,350.84017944336,1,1,0,1,1,0,0
99,4,1,1,1,1,2,0,1,2,1,2,28,3,262,3,6,8,350.84017944336,1,1,0,0,1,0,1
2,4,1,1,1,1,2,1,1,2,1,2,28,1,263,3,6,8,350.84017944336,1,1,0,1,1,0,1
9,14,1,1,3,1,2,1,1,2,1,2,28,1,264,4,2,8,350.84017944336,1,1,0,9,0,0,1
1,5,1,1,1,1,2,0,1,2,1,3,28,2,267,2,6,8,350.84017944336,1,1,0,1,1,0,0
9,14,1,1,1,1,2,0,1,2,1,3,28,3,268,5,2,8,350.84017944336,1,1,1,9,0,0,0
9,14,1,1,1,1,3,0,0,2,1,4,28,3,27,5,2,6,329,1,1,0,9,1,0,0
1,4,3,1,1,1,2,0,1,2,1,3,28,1,270,2,6,8,350.84017944336,1,1,0,1,1,0,1
99,6,1,1,1,1,2,0,1,2,1,3,28,2,271,3,5,8,350.84017944336,1,1,0,0,1,0,1
99,4,3,1,3,1,2,0,1,2,1,3,28,2,272,3,6,8,350.84017944336,1,1,0,0,1,0,0
2,4,2,1,1,1,2,0,1,2,1,3,28,1,273,3,6,8,350.84017944336,1,1,0,1,1,0,1
99,5,1,1,3,1,2,1,0,2,1,3,28,0,274,2,6,8,350.84017944336,1,1,0,0,0,0,1
99,5,1,1,3,3,2,1,1,2,1,3,28,1,275,2,6,8,350.84017944336,1,1,0,0,0,0,1
99,4,1,1,3,1,2,0,1,2,1,3,28,2,276,3,6,8,350.84017944336,1,1,0,0,0,0,1
99,4,1,1,1,1,2,0,1,2,1,3,28,3,277,4,2,8,350.84017944336,1,1,0,0,1,0,0
9,14,1,1,1,1,2,0,1,2,1,3,28,2,278,4,6,8,350.84017944336,1,1,0,9,1,0,1
2,4,1,0,1,1,2,9,1,2,1,3,28,1,279,2,5,8,350.84017944336,1,1,0,1,0,0,1
99,4,2,1,1,1,3,0,0,2,1,4,28,0,28,2,6,8,329,4,1,0,0,1,0,0
99,4,2,1,3,1,2,1,1,2,1,3,28,1,280,2,6,8,350.84017944336,1,1,0,0,0,0,1
9,14,1,1,1,1,2,0,1,2,1,3,28,3,281,5,2,6,350.84017944336,1,1,1,9,0,0,1
1,4,1,1,1,1,2,0,1,2,1,3,28,2,282,4,5,8,350.84017944336,1,1,0,1,1,0,0
9,14,1,1,1,1,2,0,1,2,1,3,28,2,283,5,5,8,350.84017944336,1,1,0,9,0,0,1
9,14,1,1,1,1,3,0,0,2,1,2,28,2,285,4,6,8,329,1,1,1,9,0,0,0
99,4,3,1,3,1,3,0,1,2,1,2,28,2,286,2,6,8,329,1,1,1,0,1,0,1
4,4,1,1,1,1,3,0,1,2,1,2,28,2,287,3,6,8,329,1,1,0,1,0,0,1
99,4,2,2,1,1,3,0,0,2,1,2,28,0,288,1,6,8,329,1,1,0,0,0,0,1
99,4,1,1,3,1,3,0,1,2,1,2,28,2,289,3,6,8,329,1,1,0,0,0,0,1
1,6,3,1,1,1,3,0,0,2,1,4,28,2,29,2,6,2,329,1,1,1,1,0,0,0
9,14,1,1,3,3,3,0,0,2,1,2,28,2,290,5,2,8,329,1,1,0,9,1,0,0
4,5,1,1,1,1,3,0,0,2,1,2,28,2,291,3,6,8,329,1,1,0,1,1,0,0
99,5,1,1,3,1,3,0,1,2,1,2,28,0,292,2,6,8,329,1,1,0,0,0,0,1
1,4,1,1,3,3,3,0,1,2,1,2,28,3,293,2,6,8,329,1,1,0,1,0,0,1
9,14,1,1,1,1,3,0,1,2,1,2,28,3,294,5,2,6,329,1,1,0,9,1,0,0
4,4,1,1,3,3,3,0,1,2,1,2,28,0,295,3,6,8,329,1,1,0,1,0,0,1
99,4,1,1,3,3,3,0,0,2,1,2,28,2,296,5,2,4,329,1,1,0,0,0,0,1
1,5,3,1,3,3,3,0,1,2,1,2,28,2,297,5,2,8,329,1,1,1,1,0,0,1
2,5,1,1,1,1,3,0,1,2,1,2,28,2,298,4,6,8,329,1,1,0,1,1,0,1
99,5,1,1,3,3,4,0,0,2,1,3,28,4,299,2,6,8,329.5,1,1,0,0,1,0,0
1,1,1,1,3,3,1,0,0,2,1,4,28,3,3,4,2,6,341.12255859375,1,1,0,1,1,1,1
99,4,2,1,1,1,3,0,1,2,1,4,28,3,30,2,6,8,329,1,1,0,0,1,0,1
99,5,2,1,3,1,4,0,1,2,1,3,28,2,300,2,6,2,329.5,1,1,0,0,1,0,1
99,5,1,1,1,1,4,0,1,2,1,3,28,2,301,3,6,8,329.5,1,1,0,0,1,0,1
99,4,1,1,1,1,4,0,0,2,1,3,28,3,302,4,2,8,329.5,1,1,0,0,1,0,0
99,5,1,1,1,1,4,0,0,2,1,3,28,1,303,2,6,8,329.5,1,1,0,0,1,0,0
9,14,1,1,3,1,4,0,1,2,1,3,28,3,304,5,5,6,329.5,1,1,0,9,0,0,1
2,5,2,1,3,3,4,0,0,2,1,3,28,3,305,2,6,8,329.5,1,1,0,1,1,0,1
1,5,2,1,1,1,4,0,1,2,1,3,28,2,306,2,6,3,329.5,1,1,0,1,1,0,0
9,14,2,1,1,1,4,0,1,2,1,3,28,2,307,3,6,8,329.5,1,1,0,9,1,0,0
2,5,1,1,3,3,4,0,1,2,1,3,28,4,308,4,6,8,329.5,1,1,0,1,1,0,1
9,14,1,1,3,1,4,0,0,2,1,3,28,3,309,5,5,8,329.5,1,1,0,9,1,0,0
2,6,1,1,1,1,4,0,0,2,1,3,28,2,310,3,6,8,329.5,1,1,1,1,0,0,0
99,6,1,1,3,3,4,0,0,2,1,3,28,1,311,3,6,8,329.5,1,1,0,0,1,0,0
1,6,1,1,3,3,4,0,1,2,1,3,28,2,312,2,6,8,329.5,1,1,0,1,1,0,1
99,4,1,1,1,1,3,0,1,2,1,1,28,2,313,3,6,8,329,1,1,0,0,1,0,0
9,14,3,1,1,1,3,0,1,2,1,1,28,2,314,4,6,8,329,1,1,0,9,1,0,0
99,4,1,1,1,1,3,0,0,2,1,1,28,2,315,5,2,8,329,1,1,1,0,0,0,1
1,4,1,1,1,1,3,0,0,2,1,1,28,2,316,3,6,8,329,1,1,1,1,0,0,0
9,14,1,1,1,1,3,0,0,2,1,1,28,3,317,5,2,6,329,1,1,1,9,0,0,0
99,4,1,1,1,1,3,0,1,2,1,1,28,2,318,3,6,8,329,1,1,0,0,1,0,0
4,8,1,1,1,1,3,0,1,2,1,1,28,4,319,5,2,8,329,1,1,1,1,1,0,0
99,4,2,1,3,3,3,0,1,2,1,4,28,3,32,2,5,2,329,1,1,0,0,0,0,1
1,4,1,1,1,1,3,1,1,2,1,1,28,2,320,5,2,8,329,1,2,0,1,1,0,0
99,13,3,1,3,3,3,0,1,2,1,1,28,1,321,3,5,8,329,1,1,0,0,1,0,0
9,14,1,1,1,1,3,0,0,2,1,1,28,1,322,4,5,8,329,1,1,0,9,1,0,1
1,5,2,1,3,1,3,0,0,2,1,1,28,1,323,4,2,6,329,1,1,0,1,1,0,0
2,8,3,1,1,1,3,0,1,2,1,1,28,2,324,2,6,3,329,1,1,1,1,1,0,1
99,8,3,1,3,1,3,1,1,2,1,1,28,0,325,2,6,1,329,1,1,0,0,1,0,0
4,8,2,1,1,1,3,0,1,2,1,1,28,1,327,3,2,8,329,1,1,1,1,0,0,1
99,4,2,1,3,3,3,0,1,2,1,4,28,2,33,2,6,8,329,1,1,0,0,1,0,1
99,1,1,1,1,1,4,0,1,2,1,4,28,2,34,4,2,8,329.5,1,1,1,0,0,0,1
99,5,1,1,1,1,4,0,0,2,1,4,28,2,35,3,6,8,329.5,1,1,1,0,0,0,0
2,5,1,1,3,1,4,0,1,2,1,4,28,2,36,3,6,8,329.5,1,1,0,1,0,0,1
2,5,1,1,3,1,4,0,1,2,1,4,28,1,37,2,6,8,329.5,1,1,0,1,0,0,1
99,5,1,0,3,3,4,9,0,5,1,4,28,2,38,1,6,8,329.5,1,1,0,0,0,0,1
1,7,1,2,3,1,4,0,1,2,1,4,28,0,39,2,6,8,329.5,1,1,0,1,0,0,1
9,14,1,1,1,1,1,0,1,2,1,4,28,5,4,5,2,6,341.12255859375,1,1,0,9,0,1,0
99,5,3,1,1,1,4,1,1,2,1,4,28,3,40,3,2,8,329.5,1,1,0,0,0,0,1
99,5,1,1,1,1,4,0,1,2,1,4,28,3,41,4,6,6,329.5,1,1,0,0,1,0,1
9,14,1,1,1,1,4,0,0,2,1,4,28,4,42,5,2,8,329.5,1,1,0,9,0,0,1
1,5,1,1,1,1,4,0,1,2,1,4,28,3,43,4,6,8,329.5,1,1,1,1,0,0,1
99,4,1,1,1,1,4,0,1,2,1,4,28,5,44,4,6,8,329.5,1,1,0,0,1,0,1
1,5,2,1,1,1,4,1,1,2,1,4,28,1,45,2,6,3,329.5,1,1,0,1,1,0,0
99,5,1,1,3,3,4,0,1,2,1,4,28,3,46,2,6,8,329.5,1,1,0,0,0,0,1
9,14,1,1,1,1,4,0,1,2,1,4,28,3,47,5,2,8,329.5,1,1,0,9,1,0,0
9,14,1,1,1,1,4,0,1,2,1,4,28,2,49,4,6,8,329.5,1,1,1,9,0,0,0
99,1,1,1,1,1,1,0,1,2,1,4,28,3,5,5,2,6,341.12255859375,1,1,0,0,1,1,1
1,5,3,1,3,3,4,0,0,2,1,4,28,2,50,3,6,8,329.5,1,1,0,1,1,0,0
99,4,1,1,3,3,1,0,1,2,1,3,28,3,51,4,2,8,341.12255859375,1,1,0,0,0,0,1
4,8,1,1,1,1,1,0,1,2,1,3,28,1,53,4,2,8,341.12255859375,1,1,1,1,0,0,1
99,8,1,1,3,1,1,0,0,2,1,3,28,3,54,2,6,8,341.12255859375,1,1,0,0,0,0,1
99,8,3,1,3,1,1,0,1,2,1,3,28,0,55,2,6,3,341.12255859375,1,1,1,0,0,0,0
